fold,accuracy,auc,pr_auc,method,model
3,0.909952606635071,0.8651361731843575,0.6462054198583904,pIDRc + ESM1B,Random Forest
4,0.9238095238095239,0.8939448549288159,0.7427194781296244,pIDRc + ESM1B,Random Forest
5,0.9047619047619048,0.9259326004685529,0.7438262151573347,pIDRc + ESM1B,Random Forest
6,0.9,0.8324022346368715,0.6682829095747267,pIDRc + ESM1B,Random Forest
7,0.8809523809523809,0.7924851324562985,0.5620408820346146,pIDRc + ESM1B,Random Forest
8,0.919047619047619,0.953563904494382,0.8468424592440752,pIDRc + ESM1B,Random Forest
9,0.8809523809523809,0.7978405898876405,0.5628718662885938,pIDRc + ESM1B,Random Forest
0,0.9146919431279621,0.8845146648044693,0.7568178709250939,pIDRc + AlphaMissense,Random Forest
1,0.909952606635071,0.9512046089385475,0.7783492382894484,pIDRc + AlphaMissense,Random Forest
2,0.8957345971563981,0.8607716480446929,0.7094375114638064,pIDRc + AlphaMissense,Random Forest
3,0.9146919431279621,0.9002269553072626,0.6941046397144393,pIDRc + AlphaMissense,Random Forest
4,0.8952380952380953,0.9251216435393764,0.7530839400777645,pIDRc + AlphaMissense,Random Forest
5,0.9142857142857143,0.9286357902324742,0.8086716269818288,pIDRc + AlphaMissense,Random Forest
6,0.8857142857142857,0.8718688051901243,0.676317120841119,pIDRc + AlphaMissense,Random Forest
7,0.9238095238095239,0.9156604793656514,0.781586737844836,pIDRc + AlphaMissense,Random Forest
8,0.9285714285714286,0.949877106741573,0.8684542337198073,pIDRc + AlphaMissense,Random Forest
9,0.8761904761904762,0.793627106741573,0.6150838761476214,pIDRc + AlphaMissense,Random Forest
0,0.8862559241706162,0.7655377094972067,0.5673194439583742,pIDRc + EVE,MLP
1,0.8720379146919431,0.8293470670391062,0.5587370138145425,pIDRc + EVE,MLP
2,0.8767772511848341,0.7683310055865922,0.5726906288617901,pIDRc + EVE,MLP
3,0.8909952606635071,0.8589385474860335,0.6592285479462142,pIDRc + EVE,MLP
4,0.8809523809523809,0.8347449990989367,0.5922690690730698,pIDRc + EVE,MLP
5,0.8857142857142857,0.7963597044512525,0.5767760980229772,pIDRc + EVE,MLP
6,0.8666666666666667,0.7379708055505496,0.5132014643732833,pIDRc + EVE,MLP
7,0.8761904761904762,0.7592358983600649,0.495753163029885,pIDRc + EVE,MLP
8,0.8809523809523809,0.8685042134831461,0.6442048270040366,pIDRc + EVE,MLP
9,0.8714285714285714,0.7415730337078652,0.46927361235954046,pIDRc + EVE,MLP
0,0.909952606635071,0.8952513966480448,0.7209307578903262,pIDRc + ESM1B,MLP
1,0.9004739336492891,0.901536312849162,0.6361994655207356,pIDRc + ESM1B,MLP
2,0.8815165876777251,0.8266410614525139,0.5291589067770397,pIDRc + ESM1B,MLP
3,0.8909952606635071,0.8362430167597765,0.6561268078668461,pIDRc + ESM1B,MLP
4,0.9095238095238095,0.8716885925391963,0.6163870620201873,pIDRc + ESM1B,MLP
5,0.8952380952380953,0.8922328347449991,0.6737771385231484,pIDRc + ESM1B,MLP
6,0.9,0.7808614164714364,0.6010619741788403,pIDRc + ESM1B,MLP
7,0.8857142857142857,0.8015858713281673,0.6069143782333762,pIDRc + ESM1B,MLP
8,0.9238095238095239,0.9206460674157303,0.8157899594839497,pIDRc + ESM1B,MLP
9,0.8904761904761904,0.8125,0.5675097392167039,pIDRc + ESM1B,MLP
0,0.9241706161137441,0.9093924581005587,0.7858294132881126,pIDRc + AlphaMissense,MLP
1,0.9004739336492891,0.9568784916201116,0.7993496082599549,pIDRc + AlphaMissense,MLP
2,0.8909952606635071,0.911836592178771,0.7006126449013165,pIDRc + AlphaMissense,MLP
3,0.9146919431279621,0.8809357541899442,0.726735491738379,pIDRc + AlphaMissense,MLP
4,0.861904761904762,0.90538835826275,0.6386013328880455,pIDRc + AlphaMissense,MLP
5,0.9095238095238095,0.9275545143269057,0.7782792213165093,pIDRc + AlphaMissense,MLP
6,0.8952380952380953,0.8756532708596144,0.6763962573609063,pIDRc + AlphaMissense,MLP
7,0.9142857142857143,0.9293566408361866,0.7986582877925642,pIDRc + AlphaMissense,MLP
8,0.919047619047619,0.955056179775281,0.8589909754420102,pIDRc + AlphaMissense,MLP
9,0.8857142857142857,0.8196980337078652,0.5576445420769164,pIDRc + AlphaMissense,MLP
